,symbol,name,price,volume_24,perc_change_24h,market_cap,perc_change_1h,volume_24h
0,BTC,Bitcoin,37920.722099508894,,4.85124606,710060060729.3217,-0.02822554,33333689367.693676
1,ETH,Ethereum,2763.019633699826,,7.97627416,320864055403.75934,-0.25342049,26950666014.55642
2,BNB,Binance Coin,410.69876379746023,,17.21277376,63014701123.76305,0.33924057,4536936341.1765375
3,USDT,Tether,1.00035865723109,,-0.00975309,61778138604.61324,-0.01753127,82311051946.96082
4,ADA,Cardano,1.77679272900655,,1.99661344,56765523918.372,-0.47204456,3678364202.344415
5,DOGE,Dogecoin,0.40054895243648,,25.12460645,52013042632.51877,-2.12227062,12369435899.122734
6,XRP,XRP,1.02464531814638,,1.96925145,47288419735.27103,-0.46976077,3778755628.8973293
7,DOT,Polkadot,25.40832642002594,,14.33755713,23990692044.40421,0.04019412,2623574853.5027184
8,USDC,USD Coin,1.00032144236885,,-0.01820695,22699564890.24421,-0.00769604,1809402054.364584
9,UNI,Uniswap,28.32858952896035,,7.18514674,16026426741.202993,-0.17139795,614463659.4627976
10,ICP,Internet Computer,108.4244141495132,,-0.27577096,13449912197.93475,-1.51124202,226737198.28154305
11,LINK,Chainlink,31.34123859798868,,5.03744113,13461361409.442915,-0.34661807,1503881158.1729753
12,BCH,Bitcoin Cash,706.7473525161091,,3.82723264,13253800954.230818,-0.07809803,2249668257.9074445
13,LTC,Litecoin,188.5535345672831,,5.40219692,12586403697.77672,-0.22274404,2829835842.727085
14,MATIC,Polygon,1.83709688470287,,0.08972896,11504065393.256376,-0.13096357,1881391980.5630097
15,XLM,Stellar,0.42155098131415,,-1.1333417,9744484197.862719,-0.4862621,1092130941.0592403
16,SOL,Solana,34.04101150488592,,9.4196831,9280853808.819933,-0.9702224,462638134.9247992
17,BUSD,Binance USD,1.00053218734849,,-0.00838281,9028756589.194622,-0.00622472,6286607398.551265
18,VET,VeChain,0.12740607117377,,5.39485149,8194194979.442618,-1.01365431,952070987.8443028
19,THETA,THETA,8.04645901292429,,3.2540307,8046459012.92429,1.6940991,323692536.060019
20,ETC,Ethereum Classic,68.50793117580993,,2.40972641,7968383482.723402,-0.47294424,2960888317.918361
